Overriding config with config/train_shakespeare_char.py:

out_dir = 'out-shakespeare-char'
eval_interval = 500
log_interval = 20
eval_iters = 50
always_save_checkpoint = True

wandb_log = False

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 32
block_size = 128

n_layer = 4
n_head = 4
n_embd = 128
dropout = 0.2

learning_rate = 1e-3
max_iters = 3000
lr_decay_iters = 3000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 50

device = 'cuda' if __import__('torch').cuda.is_available() else 'cpu'
compile = False

tokens per iteration will be: 4,096
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 811,136 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
iter 1740: loss 1.9139, time 19.97ms, mfu 0.37%
iter 1760: loss 1.9151, time 19.32ms, mfu 0.37%
iter 1780: loss 1.8727, time 18.96ms, mfu 0.37%
iter 1800: loss 1.8094, time 19.82ms, mfu 0.37%
iter 1820: loss 1.8327, time 18.14ms, mfu 0.37%
iter 1840: loss 1.8692, time 20.33ms, mfu 0.37%
iter 1860: loss 1.8743, time 19.57ms, mfu 0.37%
iter 1880: loss 1.8649, time 20.28ms, mfu 0.37%
iter 1900: loss 1.8166, time 19.74ms, mfu 0.37%
iter 1920: loss 1.8590, time 17.92ms, mfu 0.37%
iter 1940: loss 1.8380, time 19.66ms, mfu 0.37%
iter 1960: loss 1.7903, time 18.02ms, mfu 0.38%
iter 1980: loss 1.8703, time 17.49ms, mfu 0.38%
step 2000: train loss 1.7121, val loss 1.8749
saving checkpoint to out-shakespeare-char
iter 2000: loss 1.8546, time 1166.32ms, mfu 0.34%
iter 2020: loss 1.8387, time 20.96ms, mfu 0.34%
iter 2040: loss 1.7783, time 20.15ms, mfu 0.35%
iter 2060: loss 1.8085, time 23.20ms, mfu 0.34%
iter 2080: loss 1.8273, time 20.09ms, mfu 0.35%
iter 2100: loss 1.8183, time 44.08ms, mfu 0.33%
iter 2120: loss 1.8484, time 21.39ms, mfu 0.33%
iter 2140: loss 1.8304, time 19.70ms, mfu 0.33%
